id,shortname,name,party,active,education,birthdate,occupation,current_jobs,jobs,commissions,mandates,awards,url,scrape_date
1058,Bernardino Soares,Nome Completo,PCP,False,Licenciatura em Direito,Data de Nascimento,Jurista,Deputado na XI Legislatura;; Membro da Comissão Política do Comité Central do PCP;; Eleito na Assembleia Municipal de Loures,"Eleito na Assembleia de Freguesia de Camarate de 1993 a 1997;; Membro da Direcção Nacional da JCP até 1999;; Deputado na VII, VIII, IX e X Legislaturas;",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1058,2014-11-18T23:04:56.483161
1083,Luís Nobre Guedes,Nome Completo,CDS-PP,False,,Data de Nascimento,ADVOGADO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1083,2014-11-18T23:04:57.285383
1084,Maria José Nogueira Pinto,Nome Completo,PSD,False,Licenciatura em Licenciatura,Data de Nascimento,CONSULTORA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1084,2014-11-18T23:04:57.403493
1085,Manuela Moura Guedes,Nome Completo,CDS-PP,False,,Data de Nascimento,JORNALISTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1085,2014-11-18T23:04:57.518123
1086,Jorge Ferreira,Nome Completo,CDS-PP,False,,Data de Nascimento,ADVOGADO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1086,2014-11-18T23:04:57.630385
1087,Pedro Feist,Nome Completo,CDS-PP,False,,Data de Nascimento,EMPRESARIO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1087,2014-11-18T23:04:57.744836
1102,Pedro Mota Soares,Nome Completo,CDS-PP,False,Licenciatura em Direito,Data de Nascimento,Advogado; Assistente Universitário;,Deputado na XI Legislatura; Presidente do Grupo Parlamentar do CDS/PP,Secretário Geral do CDS-PP;; Membro da Comissão Directiva de CDS-PP;; Deputado à Assembleia da República na VIII Legislatura;; Vice-Presidente do grupo Parlamentar do CDS-PP;; Membro da Comissão de Trabalho e Segurança Social na VIII Legislatura;; Membro da Comissão de Juventude e Desporto na VIII Legislatura;; Membro da Comissão de Saúde e Toxicodependência na VIII Legislatura;; Vice-Presidente dos Jovens Conservadores Europeus;; Presidente da Juventude Popular.; Presidente do Grupo Parlamentar do CDS-PP na X Legislatura; Membro da Comissão Eventual de Revisão Constitucional (2005),,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1102,2014-11-18T23:04:58.296484
1117,João Abrunhosa,Nome Completo,CDS-PP,False,,Data de Nascimento,FUNCIONARIO PUBLICO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1117,2014-11-18T23:04:58.782800
1128,Maria Eduarda Azevedo,Nome Completo,PSD,False,,Data de Nascimento,JURISTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1128,2014-11-18T23:04:59.163933
1129,Vasco Pulido Valente,Nome Completo,PSD,False,,Data de Nascimento,INVESTIGADOR CIENTIFICO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1129,2014-11-18T23:04:59.276959
1131,Francisco Torres,Nome Completo,PS,False,,Data de Nascimento,PROFESSOR UNIVERSITARIO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1131,2014-11-18T23:04:59.478749
1132,António Rodrigues,Nome Completo,PSD,True,Mestrado em Direito,Data de Nascimento,ADVOGADO,,,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias [Suplente]; Comissão de Negócios Estrangeiros e Comunidades Portuguesas [Suplente]; Comissão de Assuntos Europeus; Comissão Eventual para a Revisão Constitucional",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1132,2014-11-18T23:04:59.603947
1135,Helena Lopes da Costa,Nome Completo,PSD,False,Licenciatura em Ciência Política,Data de Nascimento,Professora,Deputada na XI legislatura;,Professora Universitária;; Vereadora da Câmara Municipal de Lisboa;; Administradora da EPUL;; Administradora da VALORSUL;; Deputada na X Legislatura,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1135,2014-11-18T23:04:59.777726
1140,Gabriel Côrte-Real Goucha,Nome Completo,PSD,True,Licenciatura em Direito; Mestrado em Estudos Europeus (Dominante Jurídica); Frequência  de Doutoramento em Estudos Europeus (Dominante Jurídica),Data de Nascimento,JURISTA,,,Comissão de Assuntos Europeus; Comissão de Economia e Obras Públicas [Suplente],,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1140,2014-11-18T23:05:00.006194
1147,António Silva Preto,Nome Completo,PSD,False,Licenciatura em DIREITO,Data de Nascimento,Advogado,Deputado na X Legislatura; Deputado a Assembleia Municipal de Lisboa; Presidente da Comissão Política Distrital de Lisboa do PSD,Deputado na IX Legislatura; Membro da Comissão dos Assuntos Constitucionais; Conselheiro nacional do PSD; Membro da Assembleia Municipal de Lisboa; Vice-Presidente da Comissão de Economia e Finanças; Presidente da Comissão Política Distrital de Lisboa do PSD,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1147,2014-11-18T23:05:00.298492
1153,José Augusto de Carvalho,Nome Completo,PS,False,Licenciatura em Ciências Humanas e Sociais(UNL),Data de Nascimento,Professor do Ensino Secundário,Deputado na X Legislatura; Presidente da Federação Regional do Oeste do PS;; Membro da Comissão Política Nacional do PS;,"Professor Efectivo do Ensino Secundário em Torres Vedras; Secretário de Estado da Administração Local e Ordenamento do Território (XIII e IX Governo Constitucional);; Secretário de Estado da Administração Local (XIV Governo Constitucional);; Deputado na VII, VIII e IX Legislatura; Presidente da Câmara Municipal de Torres Vedras (1983-1995);",,,"Medalha de Honra do Municipio de Celorico de Basto;; Cidadão Honorário do Municipio de Vila de Rei;; Medalha de Mérito, Grau Ouro, dos Municipios de Alcanena, Cabeceiros de Basto, Fafe e Torres Vedras;",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1153,2014-11-18T23:05:00.552783
1154,Helena Roseta,Nome Completo,PS,False,,Data de Nascimento,ARQUITECTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1154,2014-11-18T23:05:00.671407
1155,Manuel Jorge Goes,Nome Completo,PS,False,,Data de Nascimento,ADVOGADO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1155,2014-11-18T23:05:00.784091
1156,António Galamba,Nome Completo,PS,False,Direito; Relações Internacionais,Data de Nascimento,Consultor de Empresas,Deputado na XI Legislatura; Presidente da Delegação Portuguesa ao Fórum Parlamentar Iberoamericano; Vice-Presidente do Grupo Parlamentar do PS; Presidente do Conselho de Administração do Grupo Parlamentar do PS; Presidente da Direcção da Associação para o Jardim Infantil de Salir de Matos; Membro da Comissão Política da Federação Distrital de Leiria do PS; Membro da Comissão Política  Concelhia do PS das Caldas da Rainha; Membro do Conselho de Fundadores da Fundação Res Pública,"Membro do Secretariado Nacional do PS (1995-2002); Membro da Comissão Nacional e da Comissão Política Nacional (1994-2009); Membro da Assembleia Municipal de Vila Franca de Xira; Membro do Secretariado Nacional da JS (1990-94); Presidente da Mesa do Congresso Nacional da JS (1994-2000); Presidente da Comissão Nacional da JS (1994-2000); Membro da Comissão Permanente do PS; Membro da Comissão Executiva e da Comissão de Honra da Candidatura do Dr. Jorge Sampaio à Presidência da República; Membro da Comissão Executiva SIM pela Tolerância (Referendo IGV 1998); Várias intervenções como consultor de Comunicação e Marketing Político; Deputado na VII,  VIII, IXe X Legislaturas; Membro das comissões parlamentares do poder local, odenamento do território e ambiente, para a análise e a fiscalização dos recursos públicos envolvidos no EURO 2004, e, de inquérito à tragédia de Camarate; Presidente da Sub-comissão para a criação de novos municípios, freguesias, vilas e cidades; Vice-Presidente da Comissão Parlamentar de Juventude (VII); Membro do Conselho de Administração da Fundação Antero de Quental; Vereador na Câmara Municipal de Caldas da Rainha(2005-2009)",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1156,2014-11-18T23:05:00.917801
1157,Pinto Simões,Nome Completo,PS,False,,Data de Nascimento,CHEFE DE ESCRITORIO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1157,2014-11-18T23:05:01.030998
1158,Barbosa de Oliveira,Nome Completo,PS,False,,Data de Nascimento,BANCARIO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1158,2014-11-18T23:05:01.211652
1159,Manuel Varges,Nome Completo,PS,False,,Data de Nascimento,ECONOMISTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1159,2014-11-18T23:05:01.326342
1160,Umberto Pacheco,Nome Completo,PS,False,Licenciatura em Direito,Data de Nascimento,Advogado,Deputado na X Legislatura;,Vice-Presidente da Câmara Municipal de Cascais - 1994/2001;; Vereador da Cãmara Municipal de Cascais - 2001/2005;,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1160,2014-11-18T23:05:01.441347
1161,Tomás Vasques,Nome Completo,PS,False,,Data de Nascimento,JURISTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1161,2014-11-18T23:05:01.557432
1162,Gonçalo Almeida Velho,Nome Completo,PS,False,,Data de Nascimento,ECONOMISTA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1162,2014-11-18T23:05:01.671244
1163,Joaquim Raposo,Nome Completo,PS,False,,Data de Nascimento,TECNICO PRINCIPAL,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1163,2014-11-18T23:05:01.787231
1164,Miguel Coelho,Nome Completo,PS,True,Licenciatura em Ciência Política e Relações Internacionais,Data de Nascimento,Técnico de Organização e Métodos,Deputado na XI Legislatura; Membro da Comissão Nacional do PS; Presidente da Comissão Política Concelhia do PS Lisboa; Deputado à Assembleia Municipal de Lisboa; Membro do Conselho Municipal de Lisboa para a Segurança; Membro da Comissão Política Nacional do PS,"Deputado na X Legislatura e Vice-Secretário da Mesa da Assembleia da República;; Membro do Secretariado da Federação da àrea urbana do PS; Membro do Secretariado do PS Lisboa; Membro da Comissão Nacional do PS; Deputado na VII, VIII e IX Legislatura","Comissão de Segurança Social e Trabalho [Suplente]; Comissão do Ambiente, Ordenamento do Território e Poder Local",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1164,2014-11-18T23:05:01.917095
1165,Raimundo Narciso,Nome Completo,PS,False,,Data de Nascimento,GESTOR,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1165,2014-11-18T23:05:02.034315
1166,Claudio Monteiro,Nome Completo,PS,False,,Data de Nascimento,ADVOGADO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1166,2014-11-18T23:05:02.148319
1167,Natalina Tavares de Moura,Nome Completo,PS,False,,Data de Nascimento,INSPECTORA SUPERIOR,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1167,2014-11-18T23:05:02.271467
1168,José Egípto,Nome Completo,PS,False,Curso Geral do Comércio.,Data de Nascimento,Bancário,,Deputado na VII e VIII Legislatura; Presidente da Junta de Freguesia de Santa Maria dos Olivais - Lisboa; Presidente da Associação Nacional de Freguesias - Anafre,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1168,2014-11-18T23:05:02.390757
1169,Eduarda Ferronha,Nome Completo,PS,False,,Data de Nascimento,MEDICA PSIQUIATRA,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1169,2014-11-18T23:05:02.505805
1170,Rui Pereira,Nome Completo,PS,False,Frequência  de Licenciatura em Direito,Data de Nascimento,Consultor,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1170,2014-11-18T23:05:02.627004
1171,Carlos Alberto Oliveira,Nome Completo,PS,False,,Data de Nascimento,APOSENTADO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=1171,2014-11-18T23:05:02.742979
