id,shortname,name,party,active,education,birthdate,occupation,current_jobs,jobs,commissions,mandates,awards,url,scrape_date
2,Abílio Sousa e Silva,Nome Completo,PSD,False,,Data de Nascimento,FUNCIONARIO PUBLICO,MEMBRO DO CONSELHO DE JURISDIÇAO,VEREADOR SUBSTITUTO; VOGAL; TECNICO SUPERIOR PRINCIPAL,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=2,2014-11-18T23:03:45.692478
3,Adão Silva,Nome Completo,PSD,True,Licenciatura em Línguas e Literaturas Modernas - Estudos Portugueses e Franceses,Data de Nascimento,Professor,Deputado na XI Legislatura;; Presidente da Comissão Política Distrital do PSD-Bragança;,"Director do Centro de Reabilitação Profissional de Macedo de Cavaleiros; Secretário de Estado Adjunto do Ministro do Saúde.; Deputado na  V, VI, VIII, IX e X Legislaturas; Presidente da Assembleia Municipal-Macedo de Cavaleiros; Professor efectivo no ensino secundário; Coordenador de Projectos de Intervenção Comunitária",Comissão de Saúde [Suplente]; Comissão de Segurança Social e Trabalho,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=3,2014-11-18T23:03:45.821257
4,Adérito Campos,Nome Completo,PSD,False,,Data de Nascimento,JURISTA,PRESIDENTE; DEPUTADO; DEPUTADO MUNICIPAL; PRESIDENTE,"DEPUTADO - I, II, III, IV, E V LEGISLATURAS; DEPUTADO MUNICIPAL; VOGAL; PRESIDENTE; VOGAL; MEMBRO; MEMBRO; MEMBRO; MEMBRO; MEMBRO",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=4,2014-11-18T23:03:45.947783
5,Adriano Pinto,Nome Completo,PSD,False,,Data de Nascimento,SOLICITADOR,MEMBRO; PRESIDENTE DA ASSEMBLEIA GERAL; PRESIDENTE; DEPUTADO; MEMBRO; PRESIDENTE DA COMISSAO POLITICA CONCELHIA; MEMBRO,"VICE-PRESIDENTE; MEMBRO; PRESIDENTE; MEMBRO; PRESIDENTE; VICE-PRESIDENTE; PRESIDENTE; SECRETARIO ADJUNTO; PRESIDENTE; DEPUTADO - III, IV, E V LEGISLATURAS",,,"PRESIDENTE HONORÁRIO DO RAMALDENSE F. CLUB; MEDALHA DE BONS SERVIÇOS DESPORTIVOS; CIDADÃO HONORÁRIO DA CIDADE DO PORTO; PRESIDENTE HONORÁRIO DA A.F. PORTO; SOCIO DE MÉRITO DA A.F. PORTO; SOCIO HONORÁRIO DO SPORT COMERCIO E SALGUEIROS; GALARDOADO ""DRAGÃO DE HONRA DO F.C. PORTO; MEDALHA DE OURO AO MÉRITO DA F. P. FUTEBOL",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=5,2014-11-18T23:03:46.077650
6,Cerqueira de Oliveira,Nome Completo,PSD,False,,Data de Nascimento,PROFESSOR DO ENSINO SECUNDARIO,VEREADOR; COORDENADOR DISTRITAL; VICE-PRESIDENTE; SECRETARIO NACIONAL; SECRETARIO COORDENADOR,DEPUTADO - V LEGISLATURA; PROFESSOR; DIRECTOR; COORDENADOR; COORDENADOR DISTRITAL,,,LOUVOR DA DIRECÇÃO-GERAL DE EDUCAÇÃO DE ADULTOS,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=6,2014-11-18T23:03:46.198232
7,Alberto Araujo,Nome Completo,PSD,False,,Data de Nascimento,PERITO DE FISCALIZAÇÃO TRIBUTÁRIA DA D.G.C.I.,PRESIDENTE; LIDER; VICE-SECRETARIO; MEMBRO,PRESIDENTE; PRESIDENTE; VEREADOR; VICE-PRESIDENTE; PRESIDENTE; PRESIDENTE; DEPUTADO - IV E V LEGISLATURAS; SECRETARIO; PRESIDENTE; SECRETARIO; MEMBRO; MEMBRO; MEMBRO; COORDENADOR; MEMBRO; MEMBRO,,,UMA NO ULTRAMAR,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=7,2014-11-18T23:03:46.324549
8,Álvaro Viegas,Nome Completo,PSD,False,,Data de Nascimento,JURISTA,MEMBRO; PRESIDENTE; VICE-PRESIDENTE,DEPUTADO - V LEGISLATURA; PRESIDENTE; COLABORADOR; MEMBRO; PRESIDENTE; VOGAL; MEMBRO; COLABORADOR; PRESIDENTE,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=8,2014-11-18T23:03:46.446233
9,Álvaro Barreto,Nome Completo,PSD,False,,Data de Nascimento,GESTOR DE EMPRESAS,PRESIDENTE DO CONSELHO DE ADMINISTRAÇAO; VICE-PRESIDENTE DO CONSELHO DE ADMINISTRAÇAO; ADMINISTRADOR,DEPUTADO - II LEGISLATURA; MINISTRO; MINISTRO; MINISTRO; MINISTRO; MINISTRO; DEPUTADO -IV E V LEGISLATURAS,,,COMENDADOR DA ORDEM DE MÉRITO INDUSTRIAL-PORTUGAL; GRANDE CRUZ DA ORDEM DO FALCÃO - ISLANDIA; GRANDE CRUZ DA ORDEM DE LEOPOLDO II- BELGICA; CAVALEIRO DA GRAM CRUZ- ITALIA; CRUZ DE STº OLAVO - NORUEGA,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=9,2014-11-18T23:03:46.573828
10,Ana Paula Barros,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADA,MEMBRO; MEMBRO; PRESIDENTE,MEMBRO; PRESIDENTE; PRESIDENTE,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=10,2014-11-18T23:03:46.690506
11,Branco Malveiro,Nome Completo,PSD,False,,Data de Nascimento,PRESIDENTE DO CONSELHO DIRECTIVO DO C.R.S.S.- BEJA,PRESIDENTE; PRESIDENTE,MEMBRO; GOVERNADOR CIVIL; DEPUTADO - IV LEGISLATURA,,,MEDALHA DAS CAMPANHAS DE AFRICA; LOUVORES DE AMBITO MILITAR E CIVIL,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=11,2014-11-18T23:03:46.849898
12,António Morgado,Nome Completo,PSD,False,,Data de Nascimento,FUNCIONARIO PUBLICO,CHEFE DA ZONA AGRARIA DO CIMO COA - DRABI,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=12,2014-11-18T23:03:46.963235
13,António Germano Sá e Abreu,Nome Completo,PSD,False,,Data de Nascimento,ENGENHEIRO AGRONOMO,PRESIDENTE; PRESIDENTE; MEMBRO; SECRETARIO MESA; DELEGADO; SECRETARIO,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=13,2014-11-18T23:03:47.081532
14,António Vairinhos,Nome Completo,PSD,False,,Data de Nascimento,ECONOMISTA,,TECNICO SUPERIOR; COORDENADOR GERAL; PRESIDENTE; DIRECTOR; DEPUTADO - V LEGISLATURA; MEMBRO; MEMBRO; CHEFE DIVISAO; ADMINISTRADOR; COLABORADOR,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=14,2014-11-18T23:03:47.203851
15,António Barradas Leitão,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADO,VOGAL; PRESIDENTE,VICE-PRESIDENTE,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=15,2014-11-18T23:03:47.319870
16,Motta Veiga,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADO,ADVOGADO; VICE-PRESIDENTE; GERENTE,VICE-PRESIDENTE; GERENTE; ADVOGADO; MEMBRO; MEMBRO,,,COMENDADOR DA ORDEM DA ESTRELA POLAR DA SUECIA,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=16,2014-11-18T23:03:47.439937
17,António Alves,Nome Completo,PSD,False,,Data de Nascimento,ADMINISTRADOR DE EMPRESAS,VICE-PRESIDENTE; DIRECTOR; MEMBRO; PRESIDENTE; DELEGADO,PRESIDENTE; MEMBRO; GESTOR PUBLICO; PRESIDENTE; DIRECTOR,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=17,2014-11-18T23:03:47.558479
18,António Maria Pereira,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADO,MEMBRO; PRESIDENTE; PRESIDENTE; PRESIDENTE; CONSELHEIRO; MEMBRO; MEMBRO FUNDADOR; MEMBRO; MEMBRO HONORARIO; PRESIDENTE,DEPUTADO - V LEGISLATURA; CONSULTOR; DEPUTADO - I LEGISLATURA,,,"LEGIAO DE HONRA, MERITO E ECONOMIA NACIONAL (FRANÇA); ""ORDEM DE CAVALEIRO""; MERITO DE 1. CLASSE (ALEMANHA)",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=18,2014-11-18T23:03:47.684525
19,Barbosa de Melo,Nome Completo,PSD,False,,Data de Nascimento,INVESTIGADOR,VOGAL; PRESIDENTE; PRESIDENTE; MEMBRO,LIDER; DEPUTADO - I LEGISLATURA; MEMBRO; LIDER; DEPUTADO,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=19,2014-11-18T23:03:47.812657
20,Paulo Pereira Coelho,Nome Completo,PSD,False,Licenciatura em Economia pela Universidade de Coimbra,Data de Nascimento,Economista,"Deputado à Assembleia da República;; Membro da Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias;; Membro da Subcomissão da Administração Interna;; Vice-Presidente da Comissão Eventual para o Acompanhamento dos Fogos Florestais;; Vereador da Câmara Municipal da Figueira da Foz.","Secretário de Estado Adjunto do Ministro da Administração Interna no XVI Governo Contitucional;; Secretário de Estado da Administração Local no XV Governo Contitucional;; Presidente da Comissão de Coordenação e Desenvolvimento Regional da Região Centro;; Gestor do Programa Operacional de Desenvolvimento Regional da Região Centro;; Presidente da Assembleia-Geral da E.R.S.U.C.;; Presidente do Conselho Consultivo da E.R.S.U.C.;; Presidente do Conselho de Administração da Sociedade Coimbra Polis, S.A.;; Presidente do Conselho de Administração da Sociedade Aveiro Polis,S.A.;; Presidente do Conselho de Administração da Sociedade Castelo Branco Polis, S. A.;; Presidente do Conselho de Administração da Sociedade Leiria Polis, S.A.;; Presidente do Conselho de Administração da Sociedade Viseu Polis, S.A.;; Presidente do Conselho de Administração da Sociedade Covilhã Polis, S.A.;; Presidente do Conselho de Administração da Sociedade Guarda Polis, S.A.;; Presidente da Direcção da A.D.T.R.C.;; Vereador da Câmara Municipal de Coimbra;; Membro da Assembleia Municipal de Coimbra;; Membro da Assembleia Municipal da Figueira da Foz;; Deputado à A.R. eleito pelo círculo de emigração Fora da Europa;; Deputado à A.R. eleito pelo circulo de emigração da Europa;; Representante à Assembleia-geral da N.A.T.O.;; Representante à Assembleia-geral do Conselho da Europa;; Representante à Assembleia-geral da U.E.O.;; Membro da Comissão de Economia do Conselho da Europa;; Membro da Comissão de Economia da N.A.T.O.;; Presidente da Direcção da Escola Profissional I.N.T.E.P.;; Presidente da Direcção da A.D.F.F.;; Membro da D. G. da Associação Académica de Coimbra;; Membro da Direcção da A.L.T.A.N.;; Vice-Presidente da Comissão Permanente da Comissão Política Nacional do P.P.D./P.S.D.;; Presidente da C.P.D. de Coimbra do P.P.D./P.S.D.;; Vogal da C.P.N. da J.S.D.;; Presidente da C.P.D. de Coimbra da J.S.D.;; Membro da Assembleia de Representantes da Faculdade de Economia de Coimbra.",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=20,2014-11-18T23:03:47.951745
21,Roleira Marinho,Nome Completo,PSD,False,,Data de Nascimento,EMPREGADO BANCARIO,PRESIDENTE; MEMBRO; PRESIDENTE; MEMBRO,VOGAL; GOVERNADOR CIVIL; PRESIDENTE; PRESIDENTE; VEREADOR; MEMBRO; DEPUTADO; PRESIDENTE; MEMBRO; DEPUTADO; VICE-SECRETARIO; MEMBRO; MEMBRO; MEMBRO; MEMBRO; MEMBRO; MEMBRO; VICE-COORDENADOR; COORDENADOR,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=21,2014-11-18T23:03:48.081233
22,António Bacelar,Nome Completo,PSD,False,,Data de Nascimento,MEDICO,,ASSISTENTE; DEPUTADO; PRESIDENTE; VOGAL; VICE-PRESIDENTE; COORDENADOR; DEPUTADO - V LEGISLATURA,,,MILITAR E CIVIL,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=22,2014-11-18T23:03:48.207802
23,Aristides Teixeira,Nome Completo,PSD,False,,Data de Nascimento,PROFESSOR DO ENSINO SECUNDARIO,PRESIDENTE; MEMBRO,MEMBRO; MEMBRO; PRESIDENTE,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=23,2014-11-18T23:03:48.325370
24,Arlindo Moreira,Nome Completo,PSD,False,,Data de Nascimento,TECNICO DE SOM,,ADJUNTO,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=24,2014-11-18T23:03:48.437877
25,Armando Cunha,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADO,,DEPUTADO - V LEGISLATURA; PRESIDENTE,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=25,2014-11-18T23:03:48.553841
26,Arménio Santos,Nome Completo,PSD,True,Licenciatura em Direito,Data de Nascimento,Bancário (reformado),"Deputado na XI Legislatura;; Secretário-Geral dos TSD;; Vereador da Câmara Municipal de Loures, sem pelouro;; Vogal Comissão Política Nacional PSD;","Membro da Comissão Política Nacional do PSD; Fundador e Secretário Nacional da UGT; Membro do Conselho Nacional do Plano; Deputado em Legislaturas anteriores, desde 1980; Membro do Conselho Nacional e da Comissão Política Nacional do PSD; Secretário Geral dos TSD. ; Deputado na IX e X Legislatura; Presidente do Sindicato dos Bancários do Sul e Ilhas","Comissão de Defesa Nacional; Comissão de Saúde [Suplente]; Comissão de Segurança Social e Trabalho; Grupo de Trabalho - Alteração à Lei nº 108/91, de 17 de Agosto, que regula o Conselho Económico e Social (PJL-363-PS, 383-PEV, 384-PEV, 385-PEV, 388-PSD, 484-PS, 488-BE, 491-PSD e 492-PS)",,"louvores em campanha militar, na Guiné Bissau, dados pelo Comandante do Sector e Comandante Chefe.",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=26,2014-11-18T23:03:48.686293
27,Belarmino Correia,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADO - GESTOR PRIVADO,VICE-SECRETARIO DA MESA; PRESIDENTE; SECRETARIO DA MESA,INSPECTOR; MEMBRO; GESTOR; ADVOGADO; MEMBRO; MEMBRO; MEMBRO; MEMBRO; MEMBRO; COORDENADOR; MEMBRO; MEMBRO; PRESIDENTE; VEREADOR,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=27,2014-11-18T23:03:48.811091
28,Bernardino Gata Silva,Nome Completo,PSD,False,,Data de Nascimento,PROFESSOR DO 1º.CICLO DO ENSINO BASICO,,,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=28,2014-11-18T23:03:48.923948
29,Carlos Pereira,Nome Completo,PSD,False,,Data de Nascimento,PROFESSOR DO ENSINO SECUNDARIO,MEMBRO; VOGAL; VEREADOR,SECRETARIO,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=29,2014-11-18T23:03:49.046969
30,Carlos Almeida Figueiredo,Nome Completo,PSD,False,,Data de Nascimento,PROFESSOR DO ENSINO SECUNDARIO,CONSELHEIRO NACIONAL; VOGAL; CONSELHEIRO NACIONAL; PRESIDENTE,ADJUNTO; MEMBRO; MEMBRO,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=30,2014-11-18T23:03:49.169309
31,Carlos Lelis,Nome Completo,PSD,False,,Data de Nascimento,ASSESSOR,,"DEPUTADO; MEMBRO COMISSAO DE INQUERITO A RTP; MEMBRO; PRESIDENTE; DOCENTE; DOCENTE; DOCENTE; MEMBRO; SECRETARIO; MEMBRO; ASSESSOR; ASSESSOR; SECRETARIO; MEMBRO; MEMBRO COMISSAO EDUCAÇAO, CIENCIA E CULTURA; PRESIDENTE SUB-COMISSAO DE CULTURA; MEMBRO COMISSAO P/A HISTORIA DO PARLAMENTO; MEMBRO DA COMISSAO DE INQUERITO AO CENTRO CULTURAL DE BELEM; PROFESSOR",,,"GRANDE OFICIAL DA ORDEM DE MERITO DO LUXEMBURGO; LOUVORES A NIVEL REGIONAL, NACIONAL E INTERNACIONAL; MEDALHA DA CRUZ VERMELHA PORTUGUESA",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=31,2014-11-18T23:03:49.303303
32,Carlos Duarte,Nome Completo,PSD,False,,Data de Nascimento,ENGENHEIRO AGRONOMO,,VEREADOR; PRESIDENTE; MEMBRO; TECNICO SUPERIOR,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=32,2014-11-18T23:03:49.420644
33,Carlos Marta,Nome Completo,PSD,False,,Data de Nascimento,PROFESSOR DE EDUCAÇAO FISICA,VOGAL; VEREADOR; VICE-PRESIDENTE; VICE-PRESIDENTE,VICE-PRESIDENTE; DIRECTOR; MEMBRO; VOGAL,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=33,2014-11-18T23:03:49.596316
34,Carlos Oliveira,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADO,,MEMBRO; PRESIDENTE; FUNDADOR; MEMBRO; MEMBRO; MEMBRO; DELEGADO; MEMBRO; COORDENADOR; JUIZ; FUNDADOR; PRESIDENTE; DELEGADO; MEMBRO,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=34,2014-11-18T23:03:49.717314
35,Carlos Coelho,Nome Completo,PSD,False,,Data de Nascimento,ESTUDANTE,,"MEMBRO; PRESIDENTE; PRESIDENTE; PRESIDENTE; VICE-PRESIDENTE; DEPUTADO - III, IV, E V LEGISLATURAS; VICE-PRESIDENTE; PRESIDENTE; VICE-PRESIDENTE; DEPUTADO - I LEGISLATURA",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=35,2014-11-18T23:03:49.841259
36,Carlos Miguel Oliveira,Nome Completo,PSD,False,,Data de Nascimento,CONSULTOR DE GESTAO,,CONSULTOR DE GESTAO; LIDER; MEMBRO,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=36,2014-11-18T23:03:49.958433
37,Cecília Catarino,Nome Completo,PSD,False,,Data de Nascimento,JURISTA,,"ASSESSORA JURIDICA PRINCIPAL; DEPUTADA - I, II, III, IV E V LEGISLATURAS; MEMBRO; MEMBRO; MEMBRO; MEMBRO; MEMBRO; VICE-SECRETARIA DA MESA; MEMBRO",,,LOUVOR DO GOVERNO REGIONAL DA MADEIRA,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=37,2014-11-18T23:03:50.079241
38,Delmar Palas,Nome Completo,PSD,False,Licenciatura em História.,Data de Nascimento,Professor Efectivo do Ensino Secundário,Deputado à AR IX Legislatura; Professor do Quadro de Nomeação Definitiva da Esc. Sec. Dr. António Granjo - Chaves; Membro da Assembleia Municipal de Chaves; Funções de Gestão na E.S.E.Enfermagem.,Presidente da Comissão Política da Secção de Chaves.; Presidente do Conselho Directivo da Escola Preparatória e Secundária; Director Pedagógico da Escola Profissional; Vereador da Câmara Municipal de Chaves; Deputado á AR na VI Legislatura,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=38,2014-11-18T23:03:50.199607
39,Dinah Alhandra,Nome Completo,PSD,False,,Data de Nascimento,JORNALISTA,,GESTORA; JORNALISTA; CRONISTA RADIOFONICA; DEPUTADA (INTERCALARES); MEMBRO; DEPUTADA - IV E V LEGISLATURAS; DEPUTADA - I E II LEGISLATURAS,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=39,2014-11-18T23:03:50.318014
40,Duarte Lima,Nome Completo,PSD,False,Licenciado em Direito pela Universidade Católica Portuguesa.,Data de Nascimento,Advogado,"Deputado na X Legislatura;; Presidente da Assembleia Municipal de Miranda do Douro; Membro do Conselho de Administração da Associação Portuguesa Contra a Leucemia; Vogal do Conselho de Ética do IPO, Lisboa",Presidente da Comissão Política Distrital do PSD de Lisboa; Presidente do Grupo Parlamentar do PSD; Membro da Delegação Portuguesa à Assembleia da NATO; Vice-Presidente da comissão Política Nacional do PSD; Advogado.; Deputado pelo Círculo de Bragança entre 1983 e 1995; Docente Universitário,,,"Comendador da Ordem do Mérito, por atribuição do Presidente da República Italiana.",http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=40,2014-11-18T23:03:50.439175
41,Domingos Almeida Lima,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADO,MEMBRO,VEREADOR; MEMBRO; PRESIDENTE; MEMBRO,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=41,2014-11-18T23:03:50.556186
42,Duarte Pacheco,Nome Completo,PSD,True,Licenciatura em Economia; Mestrado em Estudos Europeus,Data de Nascimento,Economista,Deputado na XII Legislatura;; Coordenador do GP/PSD na Comissão Orçamento e Finanças;; Secretário da Mesa da Assembleia da República,"Consultor das empresas Leadership, DHO-MC e Deloitte;; Membro da Região de Turismo do Oeste; Quadro do Banco Português do Atlântico; Vereador da Câmara Municipal de Sobral de Monte Agraço; Presidente do Conselho Fiscal da Santa Casa da Misericórdia de Sobral de Monte Agraço; Presidente da Comissão Política Distrital do PSD - Área Oeste; Assistente Convidado da Universidade Lusíada;; Presidente da Comissão Política Concelhia PSD do Sobral de Monte Agraço.; Membro da Direcção do GP/PSD na IX Legislatura;; Deputado e Secretário da Mesa da Assembleia da República nas VII, IX, X e XI Legislaturas; Deputado na VI, VII, VIII, IX, X e XI Legislaturas","Comissão de Orçamento, Finanças e Administração Pública [Coordenador GP]; X Comissão Parlamentar de Inquérito à Tragédia de Camarate; Comissão Parlamentar de Inquérito à gestão do BES e do Grupo Espírito Santo",,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=42,2014-11-18T23:03:50.689048
43,Eduardo Pereira da Silva,Nome Completo,PSD,False,,Data de Nascimento,ECONOMISTA,,DEPUTADO - V LEGISLATURA; SECRETARIO-GERAL,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=43,2014-11-18T23:03:50.804799
44,Eloi Ribeiro,Nome Completo,PSD,False,,Data de Nascimento,ENGENHEIRO CIVIL,PRESIDENTE; ENGENHEIRO DIRECTOR; VOGAL,DIRECTOR; PRESIDENTE; CONSELHEIRO NACIONAL,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=44,2014-11-18T23:03:50.919767
45,Ema Paulista,Nome Completo,PSD,False,,Data de Nascimento,ASSISTENTE SOCIAL,,ASSISTENTE SOCIAL,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=45,2014-11-18T23:03:51.034149
46,Fernando Andrade,Nome Completo,PSD,False,,Data de Nascimento,MEDICO,,PRESIDENTE,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=46,2014-11-18T23:03:51.148104
47,Fernando Pereira,Nome Completo,PSD,False,,Data de Nascimento,PROFESSOR,,ADJUNTO; DEPUTADO - V LEGISLATURA; VICE-PRESIDENTE,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=47,2014-11-18T23:03:51.265421
48,Correia Afonso,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADO,,"TECNICO CONSULTOR; MEMBRO; MEMBRO; PRESIDENTE; DEPUTADO - III, IV E V LEGISLATURAS; PRESIDENTE; VICE-PRESIDENTE; PRESIDENTE; VICE-PRESIDENTE; MEMBRO",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=48,2014-11-18T23:03:51.383121
49,Fernando Amaral,Nome Completo,PSD,False,,Data de Nascimento,ADVOGADO,,"MINISTRO; VICE-PRESIDENTE; VICE-PRESIDENTE; MEMBRO; MEMBRO; DEPUTADO; PRESIDENTE; PRESIDENTE; VICE-PRESIDENTE; MEMBRO; PROVEDOR; VEREADOR; DEPUTADO - I LEGISLATURA; DEPUTADO - III, IV E V LEGISLATURAS; PRESIDENTE; VICE-PRESIDENTE; MINISTRO ADJUNTO",,,GRAO CRUZ DA ORDEM MILITAR DE CRISTO,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=49,2014-11-18T23:03:51.510018
50,Fernando Condesso,Nome Completo,PSD,False,Licenciatura em Direito,Data de Nascimento,ADVOGADO,,"Deputado na I, II, III, IV, V e VI Legislatura; Membro da Comissão de Direitos, Liberdades e Garantias e da Comissão de Assuntos Europeus; Adminstrador de Empresa Industrial; Presidente de Associação de Desenvolvimento Regional; Presidente do Grupo Parlamentar do PSD; Membro da CPN e da Comissão Permanente Nacional do PSD; Coordenador do PSD nas Comissões de Assuntos Constitucionais e de Direitos, Liberdades e Garantias; Advogado; Agente do Ministério Público; Professor do Ensino Secundário Privado e Público; Presidente da Comissão de Defesa Nacional; Presidente da Comissão de Trabalho e Emprego; 1.º Vice-Presidente da 1.ª Comissão Eventual de Revisão Constitucional; Membro da Assembleia do Atlântico Norte; Observador à UEO; Deputado Europeu; Vice-Presidente da Assembleia Paritária ACP-CEE; Presidente da Sub-Comissão de Cooperação da Comissão de Negócios Estrangeiros",,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=50,2014-11-18T23:03:51.634038
51,Fernando Antunes,Nome Completo,PSD,False,Licenciatura em Direito pela Faculdade de Direito da Universidade de Coimbra,Data de Nascimento,Advogado,"Deputado na X Legislatura;; Coordenador do PSD na Comissão de Educação, Ciência e Ensino Superior;; Vogal do Conselho de Jurisdição Nacional do Partido Social Democrata;",Professor do Ensino Preparatório; Coordenador do PSD na Comissão de Ética (2005/2006); Advogado; Presidente da Assembleia Municipal de Penela; Presidente da Câmara Municipal de Penela; Presidente da Assembleia Distrital de Coimbra; Presidente e fundador da ADSICÓ - Associação de Municípios da Serra de Sicó; Presidente e fundador da Terras de Sicó - Associação de Desenvolvimento; Membro da Comissão Executiva da Região de Turismo do Centro; Governador Civil do Distrito de Coimbra; Presidente da Assembleia Geral da Associação Humanitária dos Bombeiros Voluntários de Penela; Presidente da Assembleia Geral da FLOPEN - Associação de Produtores Florestais do Concelho de Penela; Presidente da Comissão Política de Secção de Penela do Partido Social Democrata; Vice-Presidente da Comissão Política Distrital de Coimbra do Partido Social Democrata,,,,http://www.parlamento.pt/DeputadoGP/Paginas/Biografia.aspx?BID=51,2014-11-18T23:03:51.757860
