leg,constituency_code,constituency,party,name,date_start,date_end
1,1,Aveiro,PSD,Sebastião Dias Marques,1974-04-25,1979-12-02
1,1,Aveiro,PSD,José Júlio de Carvalho Ribeiro,1974-04-25,1979-12-02
1,1,Aveiro,PSD,José Ângelo Ferreira Correia,1974-04-25,1979-12-02
1,1,Aveiro,PSD,Arnaldo Ângelo de Brito Lhamas,1974-04-25,1979-12-02
1,1,Aveiro,PSD,Manuel da Cunha Rodrigues,1974-04-25,1979-12-02
1,1,Aveiro,PSD,António Júlio Correia Teixeira da Silva,1974-04-25,1979-12-02
1,1,Aveiro,PS,Carlos Manuel Natividade da Costa Candal,1974-04-25,1979-12-02
1,1,Aveiro,PS,Alcides Strecht Monteiro,1974-04-25,1979-12-02
1,1,Aveiro,PS,Mário Manuel Cal Brandão,1974-04-25,1979-12-02
1,1,Aveiro,PS,Reinaldo Jorge Vital Rodrigues,1974-04-25,1979-12-02
1,1,Aveiro,PS,Avelino Ferreira Loureiro Zenha,1974-04-25,1979-12-02
1,1,Aveiro,CDS,Vítor António Augusto Nunes de Sá Machado,1974-04-25,1979-12-02
1,1,Aveiro,CDS,Maria José Paulo Sampaio,1974-04-25,1979-12-02
1,1,Aveiro,CDS,José Luís Rebocho de Albuquerque Christo,1974-04-25,1979-12-02
1,1,Aveiro,CDS,Álvaro Dias de Sousa Ribeiro,1974-04-25,1979-12-02
1,2,Beja,PCP,Francisco Miguel Duarte,1974-04-25,1979-12-02
1,2,Beja,PCP,José Manuel da Costa Carreira Marques,1974-04-25,1979-12-02
1,2,Beja,PCP,Manuel do Rosário Moita,1974-04-25,1979-12-02
1,2,Beja,PCP,Fernanda Peleja Patrício,1974-04-25,1979-12-02
1,2,Beja,PS,António Poppe Lopes Cardoso,1974-04-25,1979-12-02
1,2,Beja,PS,Luís Abílio da Conceição Cacito,1974-04-25,1979-12-02
1,3,Braga,PS,Raul da Assunção Pimenta Rego,1974-04-25,1979-12-02
1,3,Braga,PS,Armando Filipe Cerejeira Pereira Bacelar,1974-04-25,1979-12-02
1,3,Braga,PS,Joaquim Oliveira Rodrigues,1974-04-25,1979-12-02
1,3,Braga,PS,Francisco Soares Mesquita Machado,1974-04-25,1979-12-02
1,3,Braga,PS,Jerónimo Silva Pereira,1974-04-25,1979-12-02
1,3,Braga,PS,Jorge Augusto Barroso Coutinho,1974-04-25,1979-12-02
1,3,Braga,PSD,Jorge Manuel Moura Loureiro de Miranda,1974-04-25,1979-12-02
1,3,Braga,PSD,António Joaquim Bastos Marques Mendes,1974-04-25,1979-12-02
1,3,Braga,PSD,Fernando José Cerqueira Roriz,1974-04-25,1979-12-02
1,3,Braga,PSD,Vasco Valentim Baptista de Carvalho,1974-04-25,1979-12-02
1,3,Braga,PSD,Francisco Braga Barroso,1974-04-25,1979-12-02
1,3,Braga,CDS,Basílio Adolfo de Mendonça Horta da França,1974-04-25,1979-12-02
1,3,Braga,CDS,Henrique José Cardoso de Meneses Pereira de Morais,1974-04-25,1979-12-02
1,3,Braga,CDS,João José Magalhães Ferreira Pulido de Almeida,1974-04-25,1979-12-02
1,3,Braga,CDS,José Duarte de Almeida Ribeiro e Castro,1974-04-25,1979-12-02
1,4,Bragança,CDS,Rui Fausto Fernandes Marrana,1974-04-25,1979-12-02
1,4,Bragança,CDS,Luís Esteves Ramires,1974-04-25,1979-12-02
1,4,Bragança,PSD,Manuel da Costa Andrade,1974-04-25,1979-12-02
1,4,Bragança,PSD,António Augusto Gonçalves,1974-04-25,1979-12-02
1,4,Bragança,PS,António Francisco Barroso de Sousa Gomes,1974-04-25,1979-12-02
1,5,Castelo Branco,PS,Albano Pereira da Cunha Pina,1974-04-25,1979-12-02
1,5,Castelo Branco,PS,António Manuel de Oliveira Guterres,1974-04-25,1979-12-02
1,5,Castelo Branco,PS,Alfredo Pinto da Silva,1974-04-25,1979-12-02
1,5,Castelo Branco,CDS,Francisco Manuel Farrouba Vilela,1974-04-25,1979-12-02
1,5,Castelo Branco,CDS,João Carlos Filomeno Malhó da Fonseca,1974-04-25,1979-12-02
1,5,Castelo Branco,PSD,Pedro Manuel Cruz Roseta,1974-04-25,1979-12-02
1,5,Castelo Branco,PSD,José Manuel Ribeiro Sérvulo Correia,1974-04-25,1979-12-02
1,6,Coimbra,PS,Manuel Alegre de Melo Duarte,1974-04-25,1979-12-02
1,6,Coimbra,PS,António Carlos Ribeiro Campos,1974-04-25,1979-12-02
1,6,Coimbra,PS,Manuel Francisco da Costa,1974-04-25,1979-12-02
1,6,Coimbra,PS,Joaquim Manuel Barros de Sousa,1974-04-25,1979-12-02
1,6,Coimbra,PS,António Duarte Arnaut,1974-04-25,1979-12-02
1,6,Coimbra,PS,António Jorge Moreira Portugal,1974-04-25,1979-12-02
1,6,Coimbra,PSD,António Moreira Barbosa de Melo,1974-04-25,1979-12-02
