leg,constituency_code,constituency,party,name,date_start,date_end
1,6,Coimbra,PSD,João António Martelo de Oliveira,1974-04-25,1979-12-02
1,6,Coimbra,PSD,Vítor Hugo Mendes dos Santos,1974-04-25,1979-12-02
1,6,Coimbra,PSD,Gabriel Ribeiro da Frada,1974-04-25,1979-12-02
1,6,Coimbra,CDS,João Lopes Porto,1974-04-25,1979-12-02
1,6,Coimbra,PCP,António Dias Lourenço da Silva,1974-04-25,1979-12-02
1,7,Évora,PCP,Manuel Mendes Nobre de Gusmão,1974-04-25,1979-12-02
1,7,Évora,PCP,Custódio Jacinto Gingão,1974-04-25,1979-12-02
1,7,Évora,PCP,Raul Luís Rodrigues,1974-04-25,1979-12-02
1,7,Évora,PCP,José Manuel Paiva Jara,1974-04-25,1979-12-02
1,7,Évora,PS,António Machado Rodrigues,1974-04-25,1979-12-02
1,7,Évora,PS,Etelvina Lopes de Almeida,1974-04-25,1979-12-02
1,8,Faro,PS,Luís Filipe Nascimento Madeira,1974-04-25,1979-12-02
1,8,Faro,PS,Pedro Amadeu de Albuquerque Santos Coelho,1974-04-25,1979-12-02
1,8,Faro,PS,António José Sanches Esteves,1974-04-25,1979-12-02
1,8,Faro,PS,Fernando Reis Luís,1974-04-25,1979-12-02
1,8,Faro,PS,Francisco António Barracosa,1974-04-25,1979-12-02
1,8,Faro,PS,Eurico Manuel das Neves Henriques Mendes,1974-04-25,1979-12-02
1,8,Faro,PSD,José Adriano Gago Vitorino,1974-04-25,1979-12-02
1,8,Faro,PSD,Cristóvão Guerreiro Norte,1974-04-25,1979-12-02
1,8,Faro,PCP,José Rodrigues Vitoriano,1974-04-25,1979-12-02
1,9,Guarda,CDS,Emilío Leitão Paulo,1974-04-25,1979-12-02
1,9,Guarda,CDS,Carlos Alberto Faria de Almeida,1974-04-25,1979-12-02
1,9,Guarda,PSD,Manuel Cardoso Vilhena de Carvalho,1974-04-25,1979-12-02
1,9,Guarda,PSD,António Júlio Simões de Aguiar,1974-04-25,1979-12-02
1,9,Guarda,PS,Eduardo Ribeiro Pereira,1974-04-25,1979-12-02
1,9,Guarda,PS,António Barros dos Santos,1974-04-25,1979-12-02
1,10,Leiria,PSD,José Ferreira Júnior,1974-04-25,1979-12-02
1,10,Leiria,PSD,José Gonçalves Sapinho,1974-04-25,1979-12-02
1,10,Leiria,PSD,Fernando José da Costa,1974-04-25,1979-12-02
1,10,Leiria,PSD,João Manuel Ferreira,1974-04-25,1979-12-02
1,10,Leiria,PS,Vasco da Gama Lopes Fernandes,1974-04-25,1979-12-02
1,10,Leiria,PS,Walter Ruivo Pinto Gomes Rosa,1974-04-25,1979-12-02
1,10,Leiria,PS,Rodolfo Alexandrino Susano Crespo,1974-04-25,1979-12-02
1,10,Leiria,PS,Telmo Ferreira Neto,1974-04-25,1979-12-02
1,10,Leiria,CDS,Francisco Manuel Lopes Vieira de Oliveira Dias,1974-04-25,1979-12-02
1,10,Leiria,CDS,Rui Eduardo Ferreira Rodrigues Pena,1974-04-25,1979-12-02
1,10,Leiria,PCP,Joaquim Gomes dos Santos,1974-04-25,1979-12-02
1,11,Lisboa,PS,Mário Alberto Nobre Lopes Soares,1974-04-25,1979-12-02
1,11,Lisboa,PS,Mário Augusto Sottomayor Leal Cardia,1974-04-25,1979-12-02
1,11,Lisboa,PS,Francisco Manuel Marcelo Monteiro Curto,1974-04-25,1979-12-02
1,11,Lisboa,PS,Joaquim José Catanho de Meneses,1974-04-25,1979-12-02
1,11,Lisboa,PS,José Manuel de Medeiros Ferreira,1974-04-25,1979-12-02
1,11,Lisboa,PS,Alberto Arons Braga de Carvalho,1974-04-25,1979-12-02
1,11,Lisboa,PS,Mário António da Mota Mesquita,1974-04-25,1979-12-02
1,11,Lisboa,PS,Manuel do Carmo Mendes,1974-04-25,1979-12-02
1,11,Lisboa,PS,Delmiro Manuel de Sousa Carreira,1974-04-25,1979-12-02
1,11,Lisboa,PS,Sérgio Augusto Nunes Simões,1974-04-25,1979-12-02
1,11,Lisboa,PS,João Joaquim Gomes,1974-04-25,1979-12-02
1,11,Lisboa,PS,Vítor Manuel Ribeiro Constâncio,1974-04-25,1979-12-02
1,11,Lisboa,PS,Edmundo Pedro,1974-04-25,1979-12-02
1,11,Lisboa,PS,Aquilino Ribeiro Machado,1974-04-25,1979-12-02
1,11,Lisboa,PS,José de Melo Torres Campos,1974-04-25,1979-12-02
1,11,Lisboa,PS,Carlos Manuel da Costa Moreira,1974-04-25,1979-12-02
1,11,Lisboa,PS,Florival da Silva Nobre,1974-04-25,1979-12-02
1,11,Lisboa,PS,Fernando Tavares Loureiro,1974-04-25,1979-12-02
1,11,Lisboa,PS,Nuno Maria Monteiro Godinho de Matos,1974-04-25,1979-12-02
1,11,Lisboa,PS,Carlos Alberto Andrade Neves,1974-04-25,1979-12-02
1,11,Lisboa,PS,Herlânder dos Santos Estrela,1974-04-25,1979-12-02
1,11,Lisboa,PS,Carmelinda Maria dos Santos Pereira,1974-04-25,1979-12-02
1,11,Lisboa,PS,João Soares Louro,1974-04-25,1979-12-02
1,11,Lisboa,PS,Francisco de Assis de Mendonça Lino Neto,1974-04-25,1979-12-02
1,11,Lisboa,PS,José Maximiano de Albuquerque de Almeida Leitão,1974-04-25,1979-12-02
1,11,Lisboa,PCP,Álvaro Barreirinhas Cunhal,1974-04-25,1979-12-02
1,11,Lisboa,PCP,Carlos Alfredo de Brito,1974-04-25,1979-12-02
1,11,Lisboa,PCP,Georgete de Oliveira Ferreira,1974-04-25,1979-12-02
1,11,Lisboa,PCP,José Alves Tavares Magro,1974-04-25,1979-12-02
1,11,Lisboa,PCP,Jerónimo Carvalho de Sousa,1974-04-25,1979-12-02
1,11,Lisboa,PCP,Vital Martins Moreira,1974-04-25,1979-12-02
1,11,Lisboa,PCP,Severiano Pedro Falcão,1974-04-25,1979-12-02
1,11,Lisboa,PCP,Manuel Gonçalves,1974-04-25,1979-12-02
1,11,Lisboa,PCP,Carlos Hahnemann Saavedra de Aboim Inglês,1974-04-25,1979-12-02
1,11,Lisboa,PCP,Maria Alda Barbosa Nogueira,1974-04-25,1979-12-02
1,11,Lisboa,PCP,José Pedro Correia Soares,1974-04-25,1979-12-02
1,11,Lisboa,PCP,Álvaro Augusto Veiga de Oliveira,1974-04-25,1979-12-02
1,11,Lisboa,PCP,Vítor Manuel Berrito da Silva,1974-04-25,1979-12-02
1,11,Lisboa,PCP,Carlos Alberto do Vale Gomes Carvalhas,1974-04-25,1979-12-02
1,11,Lisboa,PSD,Joaquim Jorge de Magalhães Saraiva Mota,1974-04-25,1979-12-02
1,11,Lisboa,PSD,Artur Videira Pinto da Cunha Leal,1974-04-25,1979-12-02
1,11,Lisboa,PSD,Nuno Aires Rodrigues dos Santos,1974-04-25,1979-12-02
1,11,Lisboa,PSD,Maria Helena do Rego da Costa Salema Roseta,1974-04-25,1979-12-02
1,11,Lisboa,PSD,Mário Fernando de Campos Pinto,1974-04-25,1979-12-02
1,11,Lisboa,PSD,Afonso de Sousa Freire de Moura Guedes,1974-04-25,1979-12-02
1,11,Lisboa,PSD,António Luciano Pacheco de Sousa,1974-04-25,1979-12-02
1,11,Lisboa,PSD,António Jorge Duarte Rebelo de Sousa,1974-04-25,1979-12-02
1,11,Lisboa,PSD,José Manuel Meneses Sampaio Pimentel,1974-04-25,1979-12-02
1,11,Lisboa,PSD,Luís Fernando Cardoso Nandim de Carvalho,1974-04-25,1979-12-02
1,11,Lisboa,CDS,Diogo Pinto de Freitas do Amaral,1974-04-25,1979-12-02
1,11,Lisboa,CDS,Emídio Ferrão da Costa Pinheiro,1974-04-25,1979-12-02
1,11,Lisboa,CDS,Nuno Krus Abecassis,1974-04-25,1979-12-02
1,11,Lisboa,CDS,Narana Sinai Coissoró,1974-04-25,1979-12-02
1,11,Lisboa,CDS,Carlos Martins Robalo,1974-04-25,1979-12-02
1,11,Lisboa,CDS,Vítor Afonso Pinto da Cruz,1974-04-25,1979-12-02
1,11,Lisboa,CDS,José Vicente de Jesus de Carvalho Cardoso,1974-04-25,1979-12-02
1,11,Lisboa,CDS,José Manuel Macedo Pereira,1974-04-25,1979-12-02
1,11,Lisboa,UDP,Acácio Manuel de Frias Barreiros,1974-04-25,1979-12-02
1,12,Portalegre,PS,Júlio Francisco Miranda Calha,1974-04-25,1979-12-02
1,12,Portalegre,PS,Luís Manuel Cidade Pereira de Moura,1974-04-25,1979-12-02
1,12,Portalegre,PS,António José Pinheiro da Silva,1974-04-25,1979-12-02
1,12,Portalegre,PCP,Nicolau de Ascensão Madeira Dias Ferreira,1974-04-25,1979-12-02
1,13,Porto,PS,António Cândido de Miranda Macedo,1974-04-25,1979-12-02
1,13,Porto,PS,Francisco de Almeida Salgado Zenha,1974-04-25,1979-12-02
1,13,Porto,PS,José Luís do Amaral Nunes,1974-04-25,1979-12-02
1,13,Porto,PS,Carlos Cardoso Laje,1974-04-25,1979-12-02
1,13,Porto,PS,Manuel Joaquim de Paiva Pereira Pires,1974-04-25,1979-12-02
1,13,Porto,PS,Emílio Rui da Veiga Peixoto Vila Realr,1974-04-25,1979-12-02
1,13,Porto,PS,Alberto Augusto Martins da Silva Andrade,1974-04-25,1979-12-02
1,13,Porto,PS,Maria Emília de Melo Moreira da Silva,1974-04-25,1979-12-02
1,13,Porto,PS,José Gomes Fernandes,1974-04-25,1979-12-02
1,13,Porto,PS,António Fernandes da Fonseca,1974-04-25,1979-12-02
1,13,Porto,PS,Bento Elísio de Azevedo,1974-04-25,1979-12-02
1,13,Porto,PS,Agostinho Martins do Vale,1974-04-25,1979-12-02
1,13,Porto,PS,Manuel Lencastre Meneses de Sousa Figueiredo,1974-04-25,1979-12-02
1,13,Porto,PS,Fernando Jaime Pereira de Almeida,1974-04-25,1979-12-02
1,13,Porto,PS,Joaquim Sousa Gomes Carneiro,1974-04-25,1979-12-02
1,13,Porto,PS,Beatriz Magalhães de Almeida,1974-04-25,1979-12-02
1,13,Porto,PS,Adelino Teixeira de Carvalho,1974-04-25,1979-12-02
1,13,Porto,PS,José Cândido Rodrigues Pimenta,1974-04-25,1979-12-02
1,13,Porto,PSD,Francisco Manuel Lumbrales de Sá Carneiro,1974-04-25,1979-12-02
1,13,Porto,PSD,Olívio da Silva França,1974-04-25,1979-12-02
1,13,Porto,PSD,Mário Júlio Montalvão Machado,1974-04-25,1979-12-02
1,13,Porto,PSD,Albino Aroso Ramos,1974-04-25,1979-12-02
1,13,Porto,PSD,José Bento Gonçalves,1974-04-25,1979-12-02
1,13,Porto,PSD,Amélia Cavaleiro Monteiro de Andrade de Azevedo,1974-04-25,1979-12-02
1,13,Porto,PSD,António Augusto Lacerda de Queirós,1974-04-25,1979-12-02
1,13,Porto,PSD,Francisco Barbosa Costa,1974-04-25,1979-12-02
1,13,Porto,PSD,Manuel Joaquim Moreira Moutinho,1974-04-25,1979-12-02
1,13,Porto,PSD,Eduardo José Vieira,1974-04-25,1979-12-02
1,13,Porto,PSD,Arcanjo Nunes Luís,1974-04-25,1979-12-02
1,13,Porto,CDS,Adelino Manuel Lopes Amaro da Costa,1974-04-25,1979-12-02
1,13,Porto,CDS,Luís Aníbal de Sá de Azevedo Coutinho,1974-04-25,1979-12-02
1,13,Porto,CDS,Rui Garcia de Oliveira,1974-04-25,1979-12-02
1,13,Porto,CDS,Alcino Cardoso,1974-04-25,1979-12-02
1,13,Porto,CDS,Francisco António Lucas Pires,1974-04-25,1979-12-02
1,13,Porto,CDS,Walter Francisco Burmester Cudell,1974-04-25,1979-12-02
1,13,Porto,PCP,Carlos Campos Rodrigues da Costa,1974-04-25,1979-12-02
1,13,Porto,PCP,Ângelo Matos Mendes Veloso,1974-04-25,1979-12-02
1,13,Porto,PCP,Lino Carvalho de Lima,1974-04-25,1979-12-02
1,14,Santarém,PS,António Fernando Marques Ribeiro Reis,1974-04-25,1979-12-02
1,14,Santarém,PS,Maria de Jesus Simões Barroso Soares,1974-04-25,1979-12-02
1,14,Santarém,PS,Manuel Branco Ferreira Lima,1974-04-25,1979-12-02
1,14,Santarém,PS,José Maria Parente Mendes Godinho,1974-04-25,1979-12-02
1,14,Santarém,PS,Manuel Pereira Dias,1974-04-25,1979-12-02
1,14,Santarém,PS,José Manuel Nisa Antunes Mendes,1974-04-25,1979-12-02
1,14,Santarém,PSD,Joaquim da Silva Lourenço,1974-04-25,1979-12-02
1,14,Santarém,PSD,José António Nunes Furtado Fernandes,1974-04-25,1979-12-02
1,14,Santarém,PSD,José Joaquim Lima Monteiro de Andrade,1974-04-25,1979-12-02
1,14,Santarém,CDS,António Jacinto Martins Canaverde,1974-04-25,1979-12-02
1,14,Santarém,CDS,José Cunha Simões,1974-04-25,1979-12-02
1,14,Santarém,PCP,Octávio Floriano Rodrigues Pato,1974-04-25,1979-12-02
1,14,Santarém,PCP,Vítor Henrique Louro e Sá,1974-04-25,1979-12-02
1,15,Setúbal,PCP,Jaime dos Santos Serra,1974-04-25,1979-12-02
1,15,Setúbal,PCP,Américo Lázaro Leal,1974-04-25,1979-12-02
1,15,Setúbal,PCP,Domingos Abrantes Ferreira,1974-04-25,1979-12-02
1,15,Setúbal,PCP,José Manuel Maia Nunes de Almeida,1974-04-25,1979-12-02
1,15,Setúbal,PCP,Hermenegilda Rosa Camolas Pacheco Pereira,1974-04-25,1979-12-02
1,15,Setúbal,PCP,Fernando de Almeida Sousa Marques,1974-04-25,1979-12-02
1,15,Setúbal,PCP,Ercília Carreira Pimenta Talhadas,1974-04-25,1979-12-02
1,15,Setúbal,PCP,Manuel Duarte Gomes,1974-04-25,1979-12-02
1,15,Setúbal,PCP,António Marques Matos Zusarte,1974-04-25,1979-12-02
1,15,Setúbal,PS,António Jorge Oliveira Aires Rodrigues,1974-04-25,1979-12-02
1,15,Setúbal,PS,Herculano Rodrigues Pires,1974-04-25,1979-12-02
1,15,Setúbal,PS,Alberto Marques Antunes,1974-04-25,1979-12-02
1,15,Setúbal,PS,Alfredo Fernando Carvalho,1974-04-25,1979-12-02
1,15,Setúbal,PS,António Manuel Maldonado Gonelha,1974-04-25,1979-12-02
1,15,Setúbal,PS,José Justiniano Tabuada Brás Pinto,1974-04-25,1979-12-02
1,15,Setúbal,PS,Manuel da Mata Cáceres,1974-04-25,1979-12-02
1,15,Setúbal,PSD,Rui Manuel Parente Chancerelle de Machete,1974-04-25,1979-12-02
1,16,Viana do Castelo,PSD,Américo de Sequeira,1974-04-25,1979-12-02
1,16,Viana do Castelo,PSD,José Rui Sousa Fernandes,1974-04-25,1979-12-02
1,16,Viana do Castelo,PSD,Amantino Marques Pereira de Lemos,1974-04-25,1979-12-02
1,16,Viana do Castelo,CDS,Eugénio Maria Nunes Anacroeta Correia,1974-04-25,1979-12-02
1,16,Viana do Castelo,CDS,João Gomes de Abreu de Lima,1974-04-25,1979-12-02
1,16,Viana do Castelo,PS,Alberto Marques de Oliveira e Silva,1974-04-25,1979-12-02
1,16,Viana do Castelo,PS,Manuel Alfredo Tito de Morais,1974-04-25,1979-12-02
1,17,Vila Real,PSD,Amândio Anes de Azevedo,1974-04-25,1979-12-02
1,17,Vila Real,PSD,Fernando Adriano Pinto,1974-04-25,1979-12-02
1,17,Vila Real,PSD,Manuel Henriques Pires Fontoura,1974-04-25,1979-12-02
1,17,Vila Real,PSD,António Joaquim Veríssimo,1974-04-25,1979-12-02
1,17,Vila Real,PS,António Miguel de Morais Barreto,1974-04-25,1979-12-02
1,17,Vila Real,PS,António Chaves Medeiros,1974-04-25,1979-12-02
1,17,Vila Real,CDS,Alexandre Correia de Carvalho Reigoto,1974-04-25,1979-12-02
1,18,Viseu,CDS,Carlos Galvão de Melo,1974-04-25,1979-12-02
1,18,Viseu,CDS,Manuel António de Almeida de Azevedo e Vasconcelos,1974-04-25,1979-12-02
1,18,Viseu,CDS,João da Silva Mendes,1974-04-25,1979-12-02
1,18,Viseu,CDS,Ângelo Alberto Ribas da Silva Vieira,1974-04-25,1979-12-02
1,18,Viseu,PSD,Jorge de Figueiredo Dias,1974-04-25,1979-12-02
1,18,Viseu,PSD,Joaquim Guerra de Oliveira Alfaia,1974-04-25,1979-12-02
1,18,Viseu,PSD,Álvaro Barros Marques Figueiredo,1974-04-25,1979-12-02
1,18,Viseu,PSD,João Gabriel Soeiro Carvalho,1974-04-25,1979-12-02
1,18,Viseu,PS,Álvaro Monteiro,1974-04-25,1979-12-02
1,18,Viseu,PS,Armando dos Santos Lopes,1974-04-25,1979-12-02
1,18,Viseu,PS,Rui Paulo do Vale Valadares,1974-04-25,1979-12-02
1,19,Angra do Heroísmo,PSD,Rúben José de Almeida Martins Raposo,1974-04-25,1979-12-02
1,19,Angra do Heroísmo,PS,José Borges Nunes,1974-04-25,1979-12-02
1,19,Horta,PSD,Manuel Sérgio Garcia Vila Real-Lobos Meneses,1974-04-25,1979-12-02
1,19,Ponta Delgada,PSD,João Bosco Soares Mota Amaral,1974-04-25,1979-12-02
1,19,Ponta Delgada,PSD,Américo Natalino Pereira de Viveiros,1974-04-25,1979-12-02
1,19,Ponta Delgada,PS,Jaime José Matos da Gama,1974-04-25,1979-12-02
1,20,Funchal,PSD,José António Camacho,1974-04-25,1979-12-02
1,20,Funchal,PSD,António Egídio Fernandes Loja,1974-04-25,1979-12-02
1,20,Funchal,PSD,Henrique Manuel de Pontes Leça,1974-04-25,1979-12-02
1,20,Funchal,PSD,Nicolau Gregório de Freitas,1974-04-25,1979-12-02
1,20,Funchal,CDS,José Manuel Cabral Fernandes,1974-04-25,1979-12-02
1,20,Funchal,PS,Joaquim Jorge de Pinho Campinos,1974-04-25,1979-12-02
1,21,Círculo da Europa,PSD,João Lucílio Cacela Leitão,1974-04-25,1979-12-02
1,21,Círculo da Europa,PSD,João Alfredo Félix Vieira Lima,1974-04-25,1979-12-02
1,22,Círculo fora da Europa,CDS,António Simões Costa,1974-04-25,1979-12-02
1,22,Círculo fora da Europa,PSD,José Teodoro Jesus da Silva,1974-04-25,1979-12-02
1,1,Aveiro,AD,José Ângelo Ferreira Correia,1979-12-03,1980-10-05
1,1,Aveiro,AD,Rui Eduardo Ferreira Rodrigues Pena,1979-12-03,1980-10-05
1,1,Aveiro,AD,Mário Martins Adegas,1979-12-03,1980-10-05
1,1,Aveiro,AD,Armando Adão e Silva,1979-12-03,1980-10-05
1,1,Aveiro,AD,José Duarte de Almeida Ribeiro e Castro,1979-12-03,1980-10-05
1,1,Aveiro,AD,Manuel Maria Portugal da Fonseca,1979-12-03,1980-10-05
1,1,Aveiro,AD,António Ferreira Pereira de Melo,1979-12-03,1980-10-05
1,1,Aveiro,AD,Fernando Raimundo Rodrigues,1979-12-03,1980-10-05
1,1,Aveiro,AD,Valdemar Cardoso Alves,1979-12-03,1980-10-05
1,1,Aveiro,PS,Carlos Manuel Natividade da Costa Candal,1979-12-03,1980-10-05
1,1,Aveiro,PS,Avelino Ferreira Loureiro Zenha,1979-12-03,1980-10-05
1,1,Aveiro,PS,Amadeu da Silva Cruz,1979-12-03,1980-10-05
1,1,Aveiro,PS,Alberto Rodrigues Ferreira Camboa,1979-12-03,1980-10-05
1,1,Aveiro,PS,Manuel Joaquim de Melo Pires Tavares Santos,1979-12-03,1980-10-05
1,1,Aveiro,APU,Vital Martins Moreira,1979-12-03,1980-10-05
1,2,Beja,APU,Dinis Fernandes Miranda,1979-12-03,1980-10-05
1,2,Beja,APU,Francisco Miguel Duarte,1979-12-03,1980-10-05
1,2,Beja,APU,José Manuel da Costa Carreira Marques,1979-12-03,1980-10-05
1,2,Beja,PS,António Manuel Chambica de Azevedo Gomes,1979-12-03,1980-10-05
1,2,Beja,AD,António Duarte e Duarte Chagas,1979-12-03,1980-10-05
1,3,Braga,AD,Carlos Matos Chaves de Macedo,1979-12-03,1980-10-05
1,3,Braga,AD,Basílio Adolfo de Mendonça Horta da Franca,1979-12-03,1980-10-05
1,3,Braga,AD,Armando António Correia,1979-12-03,1980-10-05
1,3,Braga,AD,Henrique José Cardoso de Meneses Pereira de Morais,1979-12-03,1980-10-05
1,3,Braga,AD,Carlos Manuel Pereira de Pinho,1979-12-03,1980-10-05
1,3,Braga,AD,João José Magalhães Ferreira Pulido de Almeida,1979-12-03,1980-10-05
1,3,Braga,AD,João Baptista Machado,1979-12-03,1980-10-05
1,3,Braga,AD,Domingos da Silva Pereira,1979-12-03,1980-10-05
1,3,Braga,AD,Fernando José Sequeira Roriz,1979-12-03,1980-10-05
1,3,Braga,PS,Francisco de Almeida Salgado Zenha,1979-12-03,1980-10-05
1,3,Braga,PS,Raul de Assunção Pimenta Rego,1979-12-03,1980-10-05
1,3,Braga,PS,Francisco Soares Mesquita Machado,1979-12-03,1980-10-05
1,3,Braga,PS,Frederico A. F. Handel de Oliveira,1979-12-03,1980-10-05
1,3,Braga,PS,Agostinho de Jesus Domingues,1979-12-03,1980-10-05
1,3,Braga,APU,Joaquim Vítor Baptista Gomes de Sá,1979-12-03,1980-10-05
1,4,Bragança,AD,Eleutério Manuel Alves,1979-12-03,1980-10-05
1,4,Bragança,AD,João Lopes Porto,1979-12-03,1980-10-05
1,4,Bragança,AD,Casimiro António Pires,1979-12-03,1980-10-05
1,4,Bragança,PS,Manuel José Bragança Tender,1979-12-03,1980-10-05
1,5,Castelo Branco,AD,Pedro Manuel Cruz Roseta,1979-12-03,1980-10-05
1,5,Castelo Branco,AD,Carlos Martins Robalo,1979-12-03,1980-10-05
1,5,Castelo Branco,AD,Mário Dias Lopes,1979-12-03,1980-10-05
1,5,Castelo Branco,AD,Luís Carlos Calheiros Veloso de Sampaio,1979-12-03,1980-10-05
1,5,Castelo Branco,PS,Albano Pereira da Cunha Pina,1979-12-03,1980-10-05
1,5,Castelo Branco,PS,António Manuel de Oliveira Guterres,1979-12-03,1980-10-05
1,6,Coimbra,AD,Mário Ferreira Bastos Raposo,1979-12-03,1980-10-05
1,6,Coimbra,AD,Francisco António Lucas Pires,1979-12-03,1980-10-05
1,6,Coimbra,AD,Manuel Pereira,1979-12-03,1980-10-05
1,6,Coimbra,AD,Joaquim Marques Gaspar Mendes,1979-12-03,1980-10-05
1,6,Coimbra,AD,Maria Manuela Simões Saraiva,1979-12-03,1980-10-05
1,6,Coimbra,AD,Jaime Adalberto Simões Fernandes,1979-12-03,1980-10-05
1,6,Coimbra,PS,Henrique Teixeira Queirós de Barros,1979-12-03,1980-10-05
1,6,Coimbra,PS,António Duarte Arnaut,1979-12-03,1980-10-05
1,6,Coimbra,PS,Manuel Alegre de Melo Duarte,1979-12-03,1980-10-05
1,6,Coimbra,PS,António Carlos Ribeiro Campos,1979-12-03,1980-10-05
1,6,Coimbra,PS,Fernando Luís de Almeida Torres Marinho,1979-12-03,1980-10-05
1,6,Coimbra,APU,Jorge do Carmo Silva Leite,1979-12-03,1980-10-05
1,7,Évora,APU,António Joaquim Gervásio,1979-12-03,1980-10-05
1,7,Évora,APU,José Ernesto Ildefonso Leão de Oliveira,1979-12-03,1980-10-05
